replication,seed,method,coverage,mean_width,median_width,low_coverage,high_coverage,low_mean_width,high_mean_width,width_ratio,coverage_error,coverage_imbalance,width_ratio_error_vs_oracle,winkler,ramp_coverage_diag,ramp_mean_width_diag,q,q_A,q_R,q_OA,q_OR,quantile_crossing_frac_diag,spearman_s_sigma_test_diag,spearman_s_sigma_d2_diag,d2_raw_coverage_diag,final_train_pinball,d1_val_pinball,elapsed_s
20,1020,M0 Raw Quantile,0.7025,1.6202447765444716,1.6717581301927567,0.999,0.363,1.6824080816209317,1.5607735686004163,0.9277021346073626,0.1975,0.636,4.072297865392637,6.713338853649851,0.81,1.61351453371346,1.0167729815516444,1.0943676879870077,2.429505932659596,1.0633159275233224,2.1613498532669353,0.0,0.30881162886431274,0.3045808317623898,0.7066666666666667,0.20692561566829681,0.20221400260925293,16.425361600006
20,1020,M1 Standard CQR,0.8975,3.653790739647761,3.7053040932960455,1.0,0.759,3.71595404472422,3.594319531703704,0.9672669490643437,0.0025000000000000577,0.241,4.032733050935656,4.894760016048234,0.9875,3.647060496816748,1.0167729815516444,1.0943676879870077,2.429505932659596,1.0633159275233224,2.1613498532669353,0.0,0.30881162886431274,0.3045808317623898,0.7066666666666667,0.20692561566829681,0.20221400260925293,16.428463100019144
20,1020,M2 Scaled Additive CQR,0.9091666666666667,3.3318956477629693,3.4782810513018516,1.0,0.798,3.149733850906309,3.6049258596201246,1.1445176101411991,0.009166666666666656,0.20199999999999996,3.8554823898588007,4.403461152768003,0.96,3.104724610261732,1.0167729815516444,1.0943676879870077,2.429505932659596,1.0633159275233224,2.1613498532669353,0.0,0.30881162886431274,0.3045808317623898,0.7066666666666667,0.20692561566829681,0.20221400260925293,16.431626900011906
20,1020,M3 Replacement CQR,0.9166666666666666,3.7998800512069533,4.174682460905879,0.991,0.87,3.257476167064475,4.5380361397796,1.3931141494334005,0.016666666666666607,0.121,3.6068858505665995,4.640915709952484,0.8475,3.310499540131531,1.0167729815516444,1.0943676879870077,2.429505932659596,1.0633159275233224,2.1613498532669353,0.0,0.30881162886431274,0.3045808317623898,0.7066666666666667,0.20692561566829681,0.20221400260925293,16.43475539999781
20,1020,Oracle Additive CQR,0.9016666666666666,2.8962238895724592,2.9169254741164092,1.0,0.77,2.1077344526302615,3.687405423647062,1.7494639417434745,0.0016666666666665941,0.22999999999999998,3.2505360582565253,4.048718851825182,0.985,2.8894936467414465,1.0167729815516444,1.0943676879870077,2.429505932659596,1.0633159275233224,2.1613498532669353,0.0,0.30881162886431274,0.3045808317623898,0.7066666666666667,0.20692561566829681,0.20221400260925293,16.435447399999248
20,1020,Oracle Replacement CQR,0.9075,2.593619823920322,2.5936198239203225,0.922,0.871,0.8645399413067737,4.32269970653387,5.000000000000002,0.007499999999999951,0.051000000000000045,1.7763568394002505e-15,3.293262944674321,0.9625,2.5936198239203225,1.0167729815516444,1.0943676879870077,2.429505932659596,1.0633159275233224,2.1613498532669353,0.0,0.30881162886431274,0.3045808317623898,0.7066666666666667,0.20692561566829681,0.20221400260925293,16.436673700023675
21,1021,M0 Raw Quantile,0.11,0.4256125956610777,0.4528348743915558,0.058,0.132,0.434153974942863,0.4273614194821566,0.9843545012766488,0.79,0.07400000000000001,4.015645498723352,11.342384902352292,0.185,0.39988708790391686,1.3150573868478521,2.4230385976140996,3.0151348203386643,2.718635746241712,3.7263160582693486,0.0,0.31803008607600347,0.36111586324918343,0.10458333333333333,0.3122221827507019,0.30509307980537415,16.494382799981395
21,1021,M1 Standard CQR,0.9066666666666666,3.055727369356782,3.08294964808726,1.0,0.804,3.0642687486385665,3.0574761931778602,0.9977833029613593,0.006666666666666599,0.19599999999999995,4.002216697038641,4.049539874421394,0.93,3.0300018615996214,1.3150573868478521,2.4230385976140996,3.0151348203386643,2.718635746241712,3.7263160582693486,0.0,0.31803008607600347,0.36111586324918343,0.10458333333333333,0.3122221827507019,0.30509307980537415,16.494848899979843
21,1021,M2 Scaled Additive CQR,0.9004166666666666,4.089913654758392,4.488804345317988,0.926,0.927,3.5705603790805744,4.8346633937281345,1.3540349078127252,0.0004166666666666208,0.0010000000000000009,3.645965092187275,4.852297903699613,0.77,3.526422496528578,1.3150573868478521,2.4230385976140996,3.0151348203386643,2.718635746241712,3.7263160582693486,0.0,0.31803008607600347,0.36111586324918343,0.10458333333333333,0.3122221827507019,0.30509307980537415,16.49534669998684
21,1021,M3 Replacement CQR,0.8954166666666666,4.5597134632387535,5.109957688799509,0.894,0.945,3.902821923332356,5.48427485199011,1.4052075548728746,0.004583333333333384,0.050999999999999934,3.5947924451271254,5.268419185036731,0.775,3.890538841126357,1.3150573868478521,2.4230385976140996,3.0151348203386643,2.718635746241712,3.7263160582693486,0.0,0.31803008607600347,0.36111586324918343,0.10458333333333333,0.3122221827507019,0.30509307980537415,16.495755599986296
